IGMP Connected Group Membership for VRF "LOWER" - 91 total entries
Type: S - Static, D - Dynamic, L - Local, T - SSM Translated
Group Address      Type Interface              Uptime    Expires   Last Reporter
224.0.1.1          D    Vlan310                7w4d      00:02:44  170.52.35.140
224.0.1.1          D    Vlan110                5w3d      00:03:22  170.52.44.58
224.0.1.129        D    Vlan110                1y22w     00:03:23  170.52.44.54
239.132.1.3        D    Vlan110                16:06:17  00:03:28  170.52.44.20
239.132.1.107      D    Vlan110                22:56:47  00:03:25  170.52.44.53
239.132.1.195      D    Vlan110                06:46:40  00:03:24  170.52.44.13
239.132.2.1        D    Vlan110                16:06:32  00:03:29  170.52.44.15
239.132.2.32       D    Vlan110                16:06:37  00:03:29  170.52.44.13
239.132.2.41       D    Vlan110                15:41:41  00:03:26  170.52.44.14
239.132.2.133      D    Vlan110                16:06:36  00:03:27  170.52.44.11
239.132.2.135      D    Vlan110                16:06:02  00:03:29  170.52.44.13
239.132.2.155      D    Vlan110                23:06:28  00:03:24  170.52.44.47
239.132.2.161      D    Vlan110                23:06:32  00:03:24  170.52.44.53
239.132.11.8       D    Vlan110                15:46:48  00:03:22  170.52.44.24
239.132.11.16      D    Vlan110                16:06:46  00:03:27  170.52.44.15
239.132.11.21      D    Vlan110                15:56:31  00:03:22  170.52.44.11
239.132.11.57      D    Vlan110                15:51:35  00:03:28  170.52.44.13
239.132.12.18      D    Vlan110                08:51:44  00:03:23  170.52.44.14
239.132.12.19      D    Vlan110                08:51:43  00:03:25  170.52.44.14
239.132.12.20      D    Vlan110                22:11:28  00:03:24  170.52.44.13
239.132.12.23      D    Vlan110                15:56:42  00:03:22  170.52.44.20
239.132.12.26      D    Vlan110                16:06:27  00:03:29  170.52.44.13
239.132.12.28      D    Vlan110                06:45:55  00:03:31  170.52.44.14
239.132.12.30      D    Vlan110                06:46:28  00:03:23  170.52.44.21
239.132.12.31      D    Vlan110                06:57:11  00:03:24  170.52.44.18
239.132.12.33      D    Vlan110                16:00:42  00:03:26  170.52.44.15
239.132.12.36      D    Vlan110                06:57:44  00:03:29  170.52.44.18
239.132.12.38      D    Vlan110                16:00:16  00:03:24  170.52.44.15
239.132.12.46      D    Vlan110                08:51:44  00:03:23  170.52.44.51
239.132.12.47      D    Vlan110                08:56:41  00:03:27  170.52.44.50
239.132.12.57      D    Vlan110                22:05:50  00:03:24  170.52.44.44
239.132.12.59      D    Vlan110                08:51:42  00:03:23  170.52.44.51
239.132.12.60      D    Vlan110                16:05:42  00:03:30  170.52.44.15
239.132.12.68      D    Vlan110                21:06:47  00:03:28  170.52.44.13
239.132.12.70      D    Vlan110                16:06:12  00:03:22  170.52.44.15
239.132.12.71      D    Vlan110                16:06:42  00:03:25  170.52.44.15
239.132.12.76      D    Vlan110                06:46:29  00:03:23  170.52.44.11
239.132.12.77      D    Vlan110                06:46:23  00:03:29  170.52.44.11
239.132.12.84      D    Vlan110                16:06:22  00:03:26  170.52.44.13
239.132.12.85      D    Vlan110                08:11:46  00:03:27  170.52.44.11
239.132.12.91      D    Vlan110                08:19:44  00:03:29  170.52.44.24
239.132.12.104     D    Vlan110                06:46:30  00:03:25  170.52.44.21
239.132.12.105     D    Vlan110                15:56:39  00:03:29  170.52.44.11
239.132.12.106     D    Vlan110                14:55:42  00:03:22  170.52.44.19
239.132.12.107     D    Vlan110                14:55:47  00:03:22  170.52.44.18
239.132.13.10      D    Vlan110                14:21:24  00:03:24  170.52.44.13
239.132.13.11      D    Vlan110                06:46:29  00:03:25  170.52.44.21
239.132.13.12      D    Vlan110                16:05:32  00:03:22  170.52.44.18
239.132.13.13      D    Vlan110                16:05:22  00:03:28  170.52.44.15
239.132.13.14      D    Vlan110                06:45:05  00:03:28  170.52.44.20
239.132.14.10      D    Vlan110                08:51:43  00:03:28  170.52.44.51
239.132.14.26      D    Vlan110                08:51:42  00:03:22  170.52.44.11
239.132.14.29      D    Vlan110                06:46:16  00:03:31  170.52.44.14
