Type: S - Static, D - Dynamic, R - Router port, F - Fabricpath core port

Vlan  Group Address      Ver  Type  Port list
110   */*                -    R     Vlan110
110   224.0.1.1          v2   D     Eth1/12 Eth1/36 Eth1/24
                                     Eth1/34 Eth1/23 Eth1/11 Eth1/13
                                     Eth1/35 Eth1/33 Eth1/16 Eth1/15
110   224.0.1.129        v2   D     Eth1/6 Eth1/8 Eth1/10
                                     Eth1/9 Eth1/5 Eth1/32
110   239.132.1.3        v2   D     Eth1/10 Eth1/15
110   239.132.1.107      v2   D     Eth1/38
110   239.132.1.195      v2   D     Eth1/8
110   239.132.2.1        v2   D     Eth1/10
110   239.132.2.32       v2   D     Eth1/8
110   239.132.2.41       v2   D     Eth1/10 Eth1/9
110   239.132.2.133      v2   D     Eth1/6
110   239.132.2.135      v2   D     Eth1/8
110   239.132.2.155      v2   D     Eth1/40 Eth1/8
110   239.132.2.161      v2   D     Eth1/38 Eth1/8
110   239.132.11.8       v2   D     Eth1/32
110   239.132.11.16      v2   D     Eth1/9 Eth1/10
110   239.132.11.21      v2   D     Eth1/6
110   239.132.11.57      v2   D     Eth1/8
110   239.132.12.18      v2   D     Eth1/20 Eth1/9
110   239.132.12.19      v2   D     Eth1/20 Eth1/9
110   239.132.12.20      v2   D     Eth1/37 Eth1/8
110   239.132.12.23      v2   D     Eth1/10 Eth1/14 Eth1/16
                                     Eth1/15
110   239.132.12.26      v2   D     Eth1/8
110   239.132.12.28      v2   D     Eth1/9
110   239.132.12.30      v2   D     Eth1/14 Eth1/16 Eth1/15
110   239.132.12.31      v2   D     Eth1/13 Eth1/14 Eth1/16
110   239.132.12.33      v2   D     Eth1/10 Eth1/8
110   239.132.12.36      v2   D     Eth1/13 Eth1/6 Eth1/15
110   239.132.12.38      v2   D     Eth1/10 Eth1/6
110   239.132.12.46      v2   D     Eth1/20 Eth1/9
110   239.132.12.47      v2   D     Eth1/19 Eth1/39
110   239.132.12.57      v2   D     Eth1/45 Eth1/8
110   239.132.12.59      v2   D     Eth1/20 Eth1/9
110   239.132.12.60      v2   D     Eth1/10
110   239.132.12.68      v2   D     Eth1/44 Eth1/8
110   239.132.12.70      v2   D     Eth1/10
110   239.132.12.71      v2   D     Eth1/10
110   239.132.12.76      v2   D     Eth1/6
110   239.132.12.77      v2   D     Eth1/6
110   239.132.12.84      v2   D     Eth1/8
110   239.132.12.85      v2   D     Eth1/6
110   239.132.12.91      v2   D     Eth1/32
110   239.132.12.104     v2   D     Eth1/14 Eth1/16
110   239.132.12.105     v2   D     Eth1/6
110   239.132.12.106     v2   D     Eth1/9 Eth1/16 Eth1/14
110   239.132.12.107     v2   D     Eth1/9 Eth1/13
110   239.132.13.10      v2   D     Eth1/8 Eth1/9
110   239.132.13.11      v2   D     Eth1/14 Eth1/16
110   239.132.13.12      v2   D     Eth1/10 Eth1/13
110   239.132.13.13      v2   D     Eth1/10
110   239.132.13.14      v2   D     Eth1/15
110   239.132.14.10      v2   D     Eth1/20 Eth1/9
110   239.132.14.26      v2   D     Eth1/20 Eth1/6
110   239.132.14.29      v2   D     Eth1/9
110   239.132.14.36      v2   D     Eth1/6
110   239.132.14.37      v2   D     Eth1/6
110   239.132.14.41      v2   D     Eth1/20
110   239.132.14.43      v2   D     Eth1/6
110   239.132.14.49      v2   D     Eth1/20
110   239.132.14.52      v2   D     Eth1/9
110   239.132.16.1       v2   D     Eth1/9
110   239.132.16.2       v2   D     Eth1/9 Eth1/14 Eth1/16
110   239.132.16.3       v2   D     Eth1/9 Eth1/13
110   239.132.16.8       v2   D     Eth1/9
110   239.132.16.9       v2   D     Eth1/9 Eth1/14 Eth1/16
110   239.132.16.12      v2   D     Eth1/9
110   239.132.16.14      v2   D     Eth1/39 Eth1/9
110   239.132.17.10      v2   D     Eth1/20 Eth1/9
110   239.132.17.11      v2   D     Eth1/20 Eth1/9
110   239.132.17.12      v2   D     Eth1/6
110   239.132.17.15      v2   D     Eth1/10 Eth1/13
110   239.132.17.22      v2   D     Eth1/9
110   239.132.17.23      v2   D     Eth1/20 Eth1/9
110   239.132.17.38      v2   D     Eth1/9
110   239.132.17.39      v2   D     Eth1/9
110   239.132.100.201    v2   D     Eth1/10
110   239.132.100.202    v2   D     Eth1/10
110   239.133.3.12       v2   D     Eth1/9
110   239.133.3.16       v2   D     Eth1/8 Eth1/9
110   239.133.3.28       v2   D     Eth1/8 Eth1/9
110   239.133.4.2        v2   D     Eth1/9
110   239.133.4.3        v2   D     Eth1/8
110   239.133.4.12       v2   D     Eth1/8
110   239.133.4.16       v2   D     Eth1/9
110   239.133.5.1        v2   D     Eth1/9
110   239.192.99.9       v2   D     Eth1/12 Eth1/36 Eth1/24
                                     Eth1/34 Eth1/23 Eth1/11 Eth1/13
                                     Eth1/35 Eth1/33 Eth1/16 Eth1/15
110   239.229.1.5        v2   D     Eth1/5
110   239.229.4.5        v2   D     Eth1/5
110   239.229.15.5       v2   D     Eth1/5
310   */*                -    R     Vlan310
310   224.0.1.1          v2   D     Eth1/18 Eth1/17
310   239.192.99.9       v2   D     Eth1/18 Eth1/17
310   239.255.255.250    v2   D     Eth1/18
310   239.255.255.254    v2   D     Eth1/18 Eth1/17
